cpu,mem,time,io,net,lost
42,89,3187,152,2.938968,1
62,89,3193,152,4.155992,0
36,90,3199,152,2.544464,0
31,90,3205,152,2.191168,0
32,90,3211,152,1.251168,0
41,90,3217,152,1.660896,1
61,90,3223,152,1.84632,1
45,90,3228,151,1.276208,1
43,91,3234,151,1.990616,1
62,90,3241,151,2.031728,1
38,90,3246,151,2.06456,1
45,91,3252,151,2.401472,1
58,91,3257,151,2.048392,1
26,91,3263,151,2.481968,1
38,91,3270,150,2.21704,1
38,91,3276,150,2.057016,1
20,91,3282,150,2.73136,1
49,91,3287,150,2.77884,1
42,91,3293,150,1.863992,1
50,91,3299,150,2.857736,1
27,91,3305,150,2.423576,1
15,91,3311,150,2.79424,1
74,92,3317,149,5.260272,1
59,92,3323,149,1.58952,1
32,92,3329,149,2.489424,1
60,91,3334,149,2.249016,1
25,91,3340,149,1.927104,1
6,91,3345,149,1.734256,1
59,91,3351,149,1.89496,1
30,91,3357,149,0.987176,1
39,91,3363,148,1.936392,1
31,91,3369,148,2.433768,0
54,90,3374,148,1.837672,0
35,90,3380,148,2.248392,0
20,90,3386,148,1.813424,0
45,90,3392,148,2.014904,0
34,90,3398,148,1.515624,0
29,90,3403,148,1.419336,0
42,90,3409,147,1.386584,0
27,90,3415,147,2.03816,0
54,89,3421,147,2.021472,0
53,89,3427,147,2.0456,0
46,89,3433,147,1.547872,0
22,89,3439,147,2.174616,0
32,89,3445,147,3.138104,0
59,89,3451,147,1.395768,0
29,89,3457,147,1.909016,0
30,89,3463,146,2.649176,0
4,88,3469,146,3.07392,0
24,88,3475,146,2.311384,0
49,87,3480,146,3.065936,0
27,87,3486,146,2.977368,0
19,87,3492,146,2.624672,0
26,87,3499,147,2.52024,0
28,87,3504,146,2.801456,0
36,86,3510,145,2.50412,0
15,86,3516,146,2.495872,0
16,86,3520,146,2.672712,0
64,86,3527,146,2.592264,0
34,86,3532,146,2.431728,0
32,85,3538,146,2.62404,0
15,85,3544,146,2.431216,0
39,85,3550,146,3.06632,0
50,85,3556,145,2.015312,0
35,85,3562,145,2.560168,0
33,85,3568,145,2.576424,0
14,85,3574,145,2.592592,0
26,85,3580,145,2.5926,0
55,85,3586,145,2.68084,0
32,85,3592,145,2.286392,0
31,62,3594,492,1.10644,0
94,64,3601,490,1.138784,0
94,65,3607,487,2.1782,0
29,66,3613,485,0.391432,0
38,66,3619,483,2.072352,0
87,67,3626,481,2.13624,1
92,68,3633,479,2.858792,1
91,68,3640,476,2.032352,1
93,69,3647,475,2.079824,1
67,70,3654,473,1.614064,1
91,71,3661,471,2.329648,1
78,71,3668,469,3.572104,1
84,71,3675,466,1.75072,1
90,71,3682,464,1.855472,1
74,72,3689,462,2.101744,1
90,73,3696,460,3.76272,1
82,73,3703,458,3.16944,1
39,73,3709,455,2.475904,1
84,73,3716,453,3.987272,1
69,73,3723,451,4.219696,1
77,74,3730,449,3.1154,1
87,75,3737,447,3.001896,1
85,77,3743,445,2.401648,1
76,79,3750,443,3.323784,1
88,82,3757,441,2.850072,1
69,84,3764,439,3.21096,0
60,86,3771,438,1.837144,0
50,87,3777,436,2.079712,0
69,87,3784,434,2.938824,0
40,88,3790,432,2.421328,0
